Namespace(bs=48, fold=3, gpu=6, lr=0.001, name='0817')
~~~~~~~~~~~~ fold 3 ~~~~~~~~~~~~
raw train:68003 -- raw val:17000
train:68003 --- val:17000
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
 97   | -1.5351 | -1.4314 | -0.7428, -1.5575, -1.4150, -0.8522,-1.7973,-1.8779,-1.7555,-1.7190 | -1.4647 |  7 hr 14 min 
 98   | -1.5284 | -1.4424 | -0.7594, -1.5576, -1.4061, -0.8313,-1.7939,-1.8734,-1.8540,-1.7388 | -1.4768 |  7 hr 18 min 
 99   | -1.5350 | -1.4317 | -0.7713, -1.5480, -1.4028, -0.8567,-1.7970,-1.8433,-1.6835,-1.7623 | -1.4581 |  7 hr 22 min 
 100  | -1.5378 | -1.4518 | -0.7861, -1.5366, -1.4185, -0.8774,-1.8180,-1.8609,-1.9007,-1.7276 | -1.4907 |  7 hr 27 min 
 101  | -1.5403 | -1.4451 | -0.7763, -1.5507, -1.4048, -0.9237,-1.8092,-1.8514,-1.8377,-1.7544 | -1.4885 |  7 hr 31 min 
 102  | -1.5423 | -1.4165 | -0.7117, -1.5535, -1.3774, -0.6481,-1.7631,-1.8921,-1.8666,-1.7473 | -1.4450 |  7 hr 36 min 
 103 * | -1.5444 | -1.4567 | -0.7853, -1.5682, -1.4081, -0.8920,-1.8130,-1.8926,-1.9007,-1.7501 | -1.5013 |  7 hr 40 min 
 104  | -1.4932 | -1.4412 | -0.7915, -1.5519, -1.4050, -0.6216,-1.8102,-1.8853,-1.8174,-1.7002 | -1.4479 |  7 hr 45 min 
 105  | -1.5457 | -1.4516 | -0.7732, -1.5648, -1.4239, -0.7261,-1.8174,-1.8925,-1.8705,-1.7196 | -1.4735 |  7 hr 49 min 
 106  | -1.5476 | -1.4518 | -0.7849, -1.5317, -1.4164, -0.8976,-1.8316,-1.8924,-1.9072,-1.7364 | -1.4998 |  7 hr 54 min 
 107 * | -1.5505 | -1.4640 | -0.7804, -1.5726, -1.4292, -0.8845,-1.8293,-1.8975,-1.8851,-1.7586 | -1.5046 |  7 hr 58 min 
 108  | -1.5525 | -1.4294 | -0.7268, -1.5603, -1.3914, -0.7508,-1.8159,-1.8704,-1.8918,-1.7642 | -1.4714 |  8 hr 03 min 
 109  | -1.5527 | -1.4494 | -0.7721, -1.5685, -1.4105, -0.9046,-1.7855,-1.8919,-1.8978,-1.7104 | -1.4927 |  8 hr 07 min 
 110  | -1.5541 | -1.4407 | -0.7723, -1.5701, -1.4013, -0.8613,-1.8227,-1.8813,-1.8209,-1.7050 | -1.4794 |  8 hr 11 min 
 111 * | -1.5534 | -1.4624 | -0.7893, -1.5678, -1.4125, -0.9054,-1.8024,-1.9034,-1.9208,-1.7564 | -1.5073 |  8 hr 16 min 
 112  | -1.4953 | -0.5242 | 0.1665 , -0.7048, -0.6014, 0.3331 ,-0.7223,-1.0613,-0.9593,-0.7671 | -0.5396 |  8 hr 20 min 
 113  | -1.4172 | -1.4432 | -0.7713, -1.5617, -1.4180, -0.9190,-1.7965,-1.8618,-1.7691,-1.7221 | -1.4774 |  8 hr 25 min 
 114 * | -1.5493 | -1.4735 | -0.8098, -1.5806, -1.4387, -0.9421,-1.8182,-1.8991,-1.9111,-1.7027 | -1.5128 |  8 hr 29 min 
 115  | -1.5483 | -1.4449 | -0.7830, -1.5433, -1.4027, -0.9029,-1.7832,-1.8715,-1.8565,-1.7352 | -1.4848 |  8 hr 34 min 
 116  | -1.5598 | -1.4640 | -0.7983, -1.5786, -1.4274, -0.9206,-1.8319,-1.8834,-1.8001,-1.7480 | -1.4985 |  8 hr 38 min 
 117  | -1.5625 | -1.4598 | -0.7758, -1.5778, -1.4302, -0.8105,-1.8264,-1.9064,-1.9279,-1.7153 | -1.4963 |  8 hr 43 min 
 118  | -1.5662 | -1.4444 | -0.7433, -1.5657, -1.4252, -0.7788,-1.8266,-1.8407,-1.8542,-1.7536 | -1.4735 |  8 hr 47 min 
 119  | -1.5601 | -1.4541 | -0.7842, -1.5641, -1.4190, -0.8481,-1.8359,-1.8964,-1.9102,-1.6935 | -1.4939 |  8 hr 52 min 
 120  | -1.5436 | -1.4517 | -0.7552, -1.5730, -1.4149, -0.8357,-1.8088,-1.8539,-1.9042,-1.7718 | -1.4897 |  8 hr 56 min 
 121  | -1.5699 | -1.4395 | -0.7587, -1.5808, -1.4159, -0.8178,-1.8456,-1.8957,-1.7298,-1.7178 | -1.4703 |  9 hr 00 min 
 122  | -1.5664 | -1.4411 | -0.7587, -1.5861, -1.4386, -0.8923,-1.8125,-1.8937,-1.5692,-1.7651 | -1.4645 |  9 hr 05 min 
 123  | -1.5740 | -1.4135 | -0.6703, -1.5903, -1.4015, -0.8251,-1.8152,-1.9073,-1.9167,-1.6489 | -1.4719 |  9 hr 09 min 
 124  | -1.5023 | -1.4553 | -0.7800, -1.5676, -1.4103, -0.7563,-1.8374,-1.8892,-1.8931,-1.7564 | -1.4863 |  9 hr 14 min 
 125 * | -1.5716 | -1.4836 | -0.8037, -1.5906, -1.4437, -0.8614,-1.8333,-1.9045,-1.9297,-1.7776 | -1.5181 |  9 hr 18 min 
 126  | -1.5767 | -1.4605 | -0.7744, -1.5589, -1.4247, -0.8863,-1.8443,-1.8863,-1.9477,-1.7269 | -1.5062 |  9 hr 23 min 
 127  | -1.5799 | -1.4798 | -0.8045, -1.5802, -1.4367, -0.9043,-1.8431,-1.8868,-1.9121,-1.7759 | -1.5180 |  9 hr 27 min 
 128 * | -1.5803 | -1.4665 | -0.7812, -1.5946, -1.4172, -0.9753,-1.8364,-1.9089,-1.8940,-1.7602 | -1.5210 |  9 hr 32 min 
 129 * | -1.5857 | -1.4883 | -0.8040, -1.5934, -1.4529, -0.9759,-1.8566,-1.8974,-1.9040,-1.7707 | -1.5319 |  9 hr 36 min 
 130  | -1.5869 | -1.4714 | -0.7933, -1.5828, -1.4269, -0.9010,-1.8280,-1.9004,-1.9265,-1.7461 | -1.5131 |  9 hr 40 min 
 131  | -1.5890 | -1.4725 | -0.7985, -1.5665, -1.4411, -0.9509,-1.8519,-1.9226,-1.8512,-1.7577 | -1.5175 |  9 hr 45 min 
 132  | -1.5926 | -1.4602 | -0.7867, -1.5728, -1.4350, -0.9710,-1.8524,-1.9117,-1.7542,-1.7527 | -1.5045 |  9 hr 49 min 
 133  | -1.5908 | -1.4872 | -0.8065, -1.5972, -1.4476, -0.8859,-1.8316,-1.8993,-1.9392,-1.7588 | -1.5208 |  9 hr 54 min 
 134 * | -1.5949 | -1.4819 | -0.7789, -1.5938, -1.4529, -0.9786,-1.8421,-1.8970,-1.9474,-1.7659 | -1.5321 |  9 hr 58 min 
 135  | -1.5937 | -1.4377 | -0.6785, -1.5927, -1.4459, -0.8635,-1.7993,-1.9157,-1.9129,-1.7521 | -1.4951 | 10 hr 02 min 
 136  | -1.5993 | -1.4846 | -0.8163, -1.5432, -1.4463, -0.8582,-1.8556,-1.9144,-1.9716,-1.7950 | -1.5251 | 10 hr 07 min 
 137  | -1.5980 | -1.4515 | -0.8089, -1.5488, -1.4283, -0.9139,-1.8453,-1.9220,-1.7313,-1.7031 | -1.4877 | 10 hr 12 min 
 138  | -1.6007 | -1.4812 | -0.7932, -1.5995, -1.4567, -0.8136,-1.8463,-1.8851,-1.8483,-1.7777 | -1.5025 | 10 hr 16 min 
 139  | -1.6038 | -1.4886 | -0.8228, -1.5911, -1.4386, -0.6630,-1.8646,-1.9149,-1.9333,-1.7851 | -1.5017 | 10 hr 20 min 
 140 * | -1.6026 | -1.4940 | -0.8338, -1.5932, -1.4340, -0.9595,-1.8459,-1.8851,-1.9344,-1.7913 | -1.5346 | 10 hr 25 min 
 141  | -1.6041 | -1.4667 | -0.7853, -1.6034, -1.4221, -0.8640,-1.8396,-1.9046,-1.9231,-1.7132 | -1.5069 | 10 hr 29 min 
 142  | -1.6060 | -1.4858 | -0.7983, -1.6040, -1.4434, -0.9083,-1.8567,-1.8758,-1.9105,-1.7860 | -1.5229 | 10 hr 34 min 
 143  | -1.6079 | -1.4362 | -0.7354, -1.5944, -1.3905, -0.7565,-1.8329,-1.9154,-1.8339,-1.7636 | -1.4778 | 10 hr 38 min 
 144 * | -1.6099 | -1.4863 | -0.8026, -1.6088, -1.4427, -0.9486,-1.8475,-1.9321,-1.9615,-1.7375 | -1.5352 | 10 hr 43 min 
 145  | -1.5863 | -1.4633 | -0.8024, -1.5745, -1.4353, -0.8534,-1.8006,-1.9016,-1.7485,-1.7651 | -1.4852 | 10 hr 47 min 
 146  | -1.6122 | -1.4940 | -0.8318, -1.5970, -1.4521, -0.8806,-1.8181,-1.9135,-1.9280,-1.7460 | -1.5209 | 10 hr 52 min 
 147  | -1.4288 | -1.4247 | -0.7020, -1.5250, -1.4241, -0.8508,-1.8239,-1.8925,-1.8821,-1.7431 | -1.4805 | 10 hr 56 min 
 148  | -1.5830 | -1.4679 | -0.7572, -1.5984, -1.4502, -0.8819,-1.8460,-1.9142,-1.8914,-1.7471 | -1.5108 | 11 hr 00 min 
 149  | -1.6046 | -1.4776 | -0.7943, -1.6073, -1.4168, -0.9193,-1.8686,-1.9170,-1.9638,-1.7674 | -1.5318 | 11 hr 05 min 
 150  | -1.5443 | -1.4797 | -0.7888, -1.5950, -1.4535, -0.5897,-1.8256,-1.8744,-1.9150,-1.7890 | -1.4789 | 11 hr 09 min 
 151  | -1.6093 | -1.5067 | -0.8412, -1.6020, -1.4580, -0.8449,-1.8383,-1.9104,-1.9578,-1.7863 | -1.5299 | 11 hr 14 min 
 152  | -1.5665 | -1.4748 | -0.8175, -1.5545, -1.4494, -0.9461,-1.8389,-1.9032,-1.8841,-1.7197 | -1.5142 | 11 hr 18 min 
 153  | -1.6093 | -1.4810 | -0.7755, -1.5952, -1.4574, -0.9266,-1.8383,-1.9260,-1.9080,-1.7822 | -1.5261 | 11 hr 23 min 
 154  | -1.6152 | -1.4958 | -0.8384, -1.5842, -1.4552, -0.6678,-1.8076,-1.9231,-1.9614,-1.7696 | -1.5009 | 11 hr 27 min 
