Namespace(bs=48, fold=3, gpu=6, lr=5e-05, name='0817-fine')
~~~~~~~~~~~~ fold 3 ~~~~~~~~~~~~
raw train:68003 -- raw val:17000
train:68003 --- val:17000
load pre-trained done.....
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
 61  * | -1.8497 | -1.6181 | -0.9389, -1.7040, -1.5465, -1.1214,-1.9567,-2.0118,-2.1161,-1.8918 | -1.6609 |  4 hr 36 min 
 62  * | -1.8501 | -1.6221 | -0.9505, -1.7025, -1.5474, -1.1269,-1.9570,-2.0083,-2.1172,-1.8952 | -1.6631 |  4 hr 41 min 
 63   | -1.8505 | -1.6061 | -0.9063, -1.7026, -1.5464, -1.1296,-1.9528,-2.0075,-2.1128,-1.8890 | -1.6559 |  4 hr 45 min 
 64   | -1.8499 | -1.6137 | -0.9311, -1.7026, -1.5441, -1.1315,-1.9573,-2.0090,-2.1174,-1.8863 | -1.6599 |  4 hr 50 min 
 65   | -1.8505 | -1.6110 | -0.9212, -1.7025, -1.5465, -1.1305,-1.9556,-2.0113,-2.1132,-1.8880 | -1.6586 |  4 hr 54 min 
 66   | -1.8513 | -1.6158 | -0.9338, -1.7047, -1.5462, -1.1232,-1.9576,-2.0129,-2.1156,-1.8901 | -1.6605 |  4 hr 59 min 
 67   | -1.8519 | -1.6198 | -0.9469, -1.7021, -1.5453, -1.1331,-1.9547,-2.0091,-2.1104,-1.8939 | -1.6619 |  5 hr 03 min 
 68   | -1.8520 | -1.6195 | -0.9446, -1.7031, -1.5461, -1.0907,-1.9581,-2.0109,-2.1227,-1.8931 | -1.6587 |  5 hr 08 min 
 69   | -1.8520 | -1.6159 | -0.9296, -1.7037, -1.5483, -1.1056,-1.9587,-2.0132,-2.1188,-1.8935 | -1.6589 |  5 hr 12 min 
 70   | -1.8518 | -1.6198 | -0.9471, -1.7030, -1.5459, -1.1192,-1.9586,-2.0076,-2.1180,-1.8870 | -1.6608 |  5 hr 17 min 
 71  * | -1.8525 | -1.6216 | -0.9475, -1.7049, -1.5467, -1.1234,-1.9558,-2.0098,-2.1238,-1.8932 | -1.6631 |  5 hr 21 min 
 72   | -1.8553 | -1.6163 | -0.9351, -1.7038, -1.5459, -1.1009,-1.9557,-2.0137,-2.1142,-1.8932 | -1.6578 |  5 hr 26 min 
 73   | -1.8536 | -1.6192 | -0.9409, -1.7048, -1.5483, -1.0946,-1.9536,-2.0127,-2.1211,-1.8902 | -1.6583 |  5 hr 30 min 
 74   | -1.8540 | -1.6182 | -0.9445, -1.7004, -1.5467, -1.1252,-1.9617,-2.0046,-2.1229,-1.8801 | -1.6607 |  5 hr 35 min 
 75   | -1.8540 | -1.6182 | -0.9374, -1.7043, -1.5476, -1.1054,-1.9611,-2.0126,-2.1099,-1.8985 | -1.6596 |  5 hr 39 min 
 76  * | -1.8536 | -1.6210 | -0.9427, -1.7036, -1.5485, -1.1228,-1.9590,-2.0120,-2.1257,-1.8981 | -1.6640 |  5 hr 44 min 
 77   | -1.8550 | -1.6161 | -0.9366, -1.7039, -1.5461, -1.0973,-1.9587,-2.0129,-2.1041,-1.8909 | -1.6563 |  5 hr 48 min 
 78   | -1.8548 | -1.6178 | -0.9395, -1.7032, -1.5476, -1.1135,-1.9582,-2.0082,-2.1208,-1.8848 | -1.6595 |  5 hr 52 min 
 79   | -1.8543 | -1.6189 | -0.9397, -1.7043, -1.5473, -1.1059,-1.9592,-2.0112,-2.1228,-1.8941 | -1.6606 |  5 hr 57 min 
 80  * | -1.8559 | -1.6226 | -0.9457, -1.7067, -1.5488, -1.1288,-1.9637,-2.0086,-2.1234,-1.8966 | -1.6653 |  6 hr 01 min 
 81   | -1.8550 | -1.6133 | -0.9226, -1.7046, -1.5481, -1.1134,-1.9569,-2.0092,-2.1245,-1.8914 | -1.6588 |  6 hr 06 min 
 82   | -1.8556 | -1.6176 | -0.9359, -1.7039, -1.5481, -1.1284,-1.9624,-2.0101,-2.1179,-1.8917 | -1.6623 |  6 hr 10 min 
